시도명,GRDP,수출금액(단위: 천 불),수입금액(단위: 천 불)
강원도,"48,822,640","2,087,869","4,047,881"
경기도,"477,413,452","116,652,500","122,106,568"
경상남도,"114,020,931","39,132,891","21,352,349"
경상북도,"106,805,459","37,655,331","14,763,225"
광주광역시,"41,519,553","13,414,657","5,898,205"
대구광역시,"58,094,694","7,490,479","4,368,801"
대전광역시,"43,092,218","4,030,490","3,171,336"
부산광역시,"93,012,134","13,811,818","13,796,543"
서울특별시,"435,927,212","57,373,019","157,392,833"
울산광역시,"74,654,628","69,529,323","32,705,085"
인천광역시,"90,040,500","38,009,140","42,113,876"
전라남도,"76,948,280","32,571,192","32,746,762"
전라북도,"51,997,535","6,508,634","4,986,085"
제주특별자치도,"20,308,737","149,041","420,973"
충청남도,"113,488,325","79,947,811","34,720,663"
충청북도,"69,419,635","22,035,810","6,883,246"
