시도,sido_id,총인구,남자,여자
서울,11 ,9424873 ,4567739 ,4857134 
부산,26 ,3316107 ,1618749 ,1697358 
대구,27 ,2362880 ,1162217 ,1200663 
인천,28 ,2969502 ,1486300 ,1483202 
광주,29 ,1429816 ,706724 ,723092 
대전,30 ,1445806 ,721037 ,724769 
울산,31 ,1110074 ,570113 ,539961 
세종,36 ,384496 ,191769 ,192727 
경기,41 ,13596091 ,6842226 ,6753865 
강원,42 ,1535373 ,772297 ,763076 
충북,43 ,1594459 ,810740 ,783719 
충남,44 ,2122913 ,1086686 ,1036227 
전북,45 ,1768229 ,879922 ,888307 
전남,46 ,1816707 ,914811 ,901896 
경북,47 ,2597527 ,1310583 ,1286944 
경남,48 ,3277672 ,1650300 ,1627372 
제주,50 ,677493 ,339325 ,338168 
