입국자국가,국가코드,입국연월,입국자수
중  국,112,201701,167022
중  국,112,201702,167022
중  국,112,201703,167022
중  국,112,201704,167022
중  국,112,201705,167022
중  국,112,201706,167022
중  국,112,201707,167022
중  국,112,201708,167022
중  국,112,201709,167022
중  국,112,201710,167022
중  국,112,201711,167022
중  국,112,201712,167022
중  국,112,201801,167022
중  국,112,201802,167022
중  국,112,201803,167022
중  국,112,201804,167022
중  국,112,201805,167022
중  국,112,201806,167022
중  국,112,201807,167022
중  국,112,201808,167022
중  국,112,201809,167022
중  국,112,201810,167022
중  국,112,201811,167022
중  국,112,201812,167022
중  국,112,201901,167022
중  국,112,201902,167022
중  국,112,201903,167022
중  국,112,201904,167022
중  국,112,201905,167022
중  국,112,201906,167022
중  국,112,201907,167022
중  국,112,201908,167022
중  국,112,201909,167022
중  국,112,201910,167022
중  국,112,201911,167022
중  국,112,201912,167022
중  국,112,202001,167022
중  국,112,202002,167022
중  국,112,202003,167022
중  국,112,202004,167022
중  국,112,202005,167022
중  국,112,202006,167022
중  국,112,202007,167022
중  국,112,202008,167022
중  국,112,202009,167022
중  국,112,202010,167022
중  국,112,202011,167022
중  국,112,202012,167022
중  국,112,202101,167022
중  국,112,202102,167022
중  국,112,202103,167022
중  국,112,202104,167022
중  국,112,202105,167022
중  국,112,202106,167022
중  국,112,202107,167022
중  국,112,202108,167022
중  국,112,202109,167022
중  국,112,202110,167022
중  국,112,202111,167022
중  국,112,202112,167022
